,0,1,2,3
MIMAT0030418,-3.7765894967325284,-5.236221537943478,-5.043200391975942,-3.3789671445382523
MIMAT0005798,-3.4669164705079263,-3.190958241416938,-4.607543389866686,-3.655359451335379
MIMAT0019202,-3.125518827149789,-4.305215046608316,-4.018950882091431,-3.5530684445460694
MIMAT0030429,-4.06849986974492,-5.395183304635992,-4.821358762988347,-4.299518391718723
MIMAT0019856,-4.363073486876229,-5.2512629860095945,-5.252116924604358,-3.983805397462006
MIMAT0019973,-2.447777533484899,-4.096015850357166,-3.0755346376626247,-2.8526267800655605
MIMAT0004785,-3.1153270030015756,-1.6445136769283504,-2.3398153809348994,-3.1654468356508922
MIMAT0019935,-2.898335035330908,-4.295711858677664,-2.1286266703651875,-2.5582812221865048
MIMAT0011156,-3.896893684949327,-4.325158593315267,-5.30473837121176,-3.9779655940311933
MIMAT0004811,-2.4022447795781265,-1.9365954709324118,-3.110534040531141,-1.948828739300145
MIMAT0026475,-2.367577918001244,-0.3809393111277862,-2.555414576257072,-2.5774799120011243
MIMAT0022833,-2.985834941713656,-1.3220824968155003,-2.113774169281793,-2.933834489682395
MIMAT0019760,-2.9871777276937905,-2.0102153012767596,-2.690755663092066,-3.833279153255126
MIMAT0022492,-2.999242796626585,-1.7587330369442988,-2.0869212973262443,-3.4628130250879834
MIMAT0021026,-3.8430502564422047,-3.604515710968262,-4.84574682545345,-3.863964888833386
MIMAT0018194,-1.4004547792554383,0.6280435212103056,-2.297182761189513,-0.7622791269112829
MIMAT0025462,-3.754708636484592,-4.302713759862714,-4.102500318740102,-3.513831100136874
MIMAT0011777,-3.9568270174786244,-4.129071624629832,-4.929182062979576,-4.235532607801047
MIMAT0011160,-4.056931278527023,-2.8744854311956956,-4.067249934088747,-5.054586321656886
MIMAT0021083,-3.1992425905673536,-4.105787798290615,-4.254818417107232,-2.596986102054309
MIMAT0019074,-4.4272867573592976,-3.437926504085773,-3.902872769906235,-4.365663725320898
MIMAT0027497,-3.611057579561308,-6.643856189774725,-4.283957094797562,-3.7900163263428652
MIMAT0014995,0.05803323403394401,-2.521545780619096,-0.8455455309383535,-0.37731137753793675
MIMAT0004929,-4.0870388303175345,-6.643856189774725,-3.304962163083157,-3.4666121842051907
MIMAT0009199,-2.7279655138161334,-0.5261367853569069,-3.936127188390782,-3.115776887613503
MIMAT0022298,-4.73655772483279,-6.643856189774725,-4.528573690871822,-5.361906332738125
MIMAT0003250,-3.7698965998271774,-5.498366965505968,-3.7381145671174245,-4.38535446972768
MIMAT0030417,-3.332248544252402,-3.1251128271844917,-3.4146034450113425,-3.0760110925556954
MIMAT0022276,-4.020812878740671,-3.7779337913976065,-3.2190849383577853,-4.3638056830787715
MIMAT0011163,-3.879975409981482,-3.513526733861343,-4.6145104730679725,-3.283886862442034
